GPU	Manufacter	Model	Core Clock	Mem Clock	Operating system	Driver Version	Mining Software	Power Consumption	Currency	Algorythm	Speed	Revenue / Day	Revenue / Month	Hashrate / Watt	Revenue / Month (electricity deducted)
AMD	MSI	rx 580 4GB after BIOS modding	1100	1900	Windows 10		Claymore	150	Ethereum	Ethash	27500000	$ 3.44	$ 103.13	0.18	$ 89.74
AMD	XFX	RX 580 8GB OC+ Bios Modded	1366	2150	Windows 10		Claymore	160	Ethereum	Ethash	27222000	$ 3.40	$ 102.09	0.17	$ 87.81
AMD	ASUS	RX 480 8GB OC ROG STRIX GAMING	1120	2000	Windows 10		Claymore	150	Ethereum	Ethash	27000000	$ 3.38	$ 101.25	0.18	$ 87.86
AMD	GIGABYTE	RX 580 Gaming 8G (Micron)	1340	2000	Windows 10 pro	18.7.1	ethminer 0.14.0	150	Ethereum	Ethash	26700000	$ 3.34	$ 100.13	0.18	$ 86.74
AMD	ASUS	RX 580 ASUS ROG STRIX	1360	2000	Windows 10	Crimson Relive 17.7.2	Claymore 9.8	225	Ethereum	Ethash	26000000	$ 3.25	$ 97.50	0.12	$ 77.41
AMD	SAPPHIRE	RX 580 Sapphire Pulse 8gb gddr5	1366	2000				225	Ethereum	Ethash	26000000	$ 3.25	$ 97.50	0.12	$ 77.41
AMD	GIGABYTE	Aorus RX 580 XTR 8G						241	Ethereum	Ethash	25623000	$ 3.20	$ 96.09	0.11	$ 74.57
AMD	AORUS	RX 570 AORUS 4GB	1280	1750	Windows 10	17.5.2	Claymore	150	Ethereum	Ethash	25000000	$ 3.13	$ 93.75	0.17	$ 80.36
AMD	MSI	R9 280X	850	1500	Windows 10		Claymore	250	Ethereum	Ethash	25000000	$ 3.13	$ 93.75	0.10	$ 71.43
AMD	ASUS	ASUS RX 480 4GB	1320		Windows 10		Claymore	150	Ethereum	Ethash	24000000	$ 3.00	$ 90.00	0.16	$ 76.61
AMD	ASUS	ASUS RX 470 8GB	1270	2060	Arch Linux		Claymore	120	Ethereum	Ethash	24000000	$ 3.00	$ 90.00	0.20	$ 79.29
AMD	XFX	XFX RX 480 8GB	1338	2000	Windows 10		Claymore	150	Ethereum	Ethash	24000000	$ 3.00	$ 90.00	0.16	$ 76.61
AMD	SAPPHIRE	Sapphire NITRO RX 480 4GB	1208	1750	Windows 10		Claymore	150	Ethereum	Ethash	24000000	$ 3.00	$ 90.00	0.16	$ 76.61
AMD	SAPPHIRE	RX 480 NITRO+ 4GB	1400	2100	Windows 10	Crimson 17.1.1	Claymore 9.8	150	Ethereum	Ethash	23700000	$ 2.96	$ 88.88	0.16	$ 75.49
AMD	GIGABYTE	RX 470 modded	1306	1750	Windows 7 x64	Crimson Relive 17.7.2	Claymore v9.7	150	Ethereum	Ethash	23000000	$ 2.88	$ 86.25	0.15	$ 72.86
AMD	ASUS	Strix RX 570 OC 4GB (Stock)			Windows 10		Nicehash v1.7.5.13	150	Ethereum	Ethash	22000000	$ 2.75	$ 82.50	0.15	$ 69.11
AMD	XFX	RX 470 4GB	1226	1650	Windows 10		Claymore	120	Ethereum	Ethash	22000000	$ 2.75	$ 82.50	0.18	$ 71.79
AMD	POWERCOLOR	Radeon RX 470 Red Devil 4 GB	926	1650	Windows 10		claymore	140	Ethereum	Ethash	21000000	$ 2.63	$ 78.75	0.15	$ 66.25
AMD	GIGABYTE	Radeon RX 580 8GB	1257	2000	Windows 10		Claymore	185	Ethereum	Ethash	21000000	$ 2.63	$ 78.75	0.11	$ 62.23
AMD	SAPPHIRE	R9 380 Nitro 4Gb	985	1450	Windows 10		Claymore	190	Ethereum	Ethash	20500000	$ 2.56	$ 76.88	0.11	$ 59.92
AMD	MSI	RX 580 ARMOR 8GB	1366	2000	Windows 10	Crimson 17.7.2	Claymore 9.8	150	Ethereum	Ethash	20000000	$ 2.50	$ 75.00	0.13	$ 61.61
AMD	SAPPHIRE	HD 7970 Sapphire Vapor-X	925	1375	Windows 10		Claymore	250	Ethereum	Ethash	20000000	$ 2.50	$ 75.00		$ 52.68
AMD	GIGABYTE	Radeon RX 570 4GB	1168	1750	Windows 10		Claymore	120	Ethereum	Ethash	20000000	$ 2.50	$ 75.00	0.17	$ 64.29
AMD	ASUS	R9 280X	850	1500	Windows 10		Claymore	250	Ethereum	Ethash	18000000	$ 2.25	$ 67.50		$ 45.18
AMD	XFX	XFX HD 7970	925	1375	Windows 10		Claymore	250	Ethereum	Ethash	18000000	$ 2.25	$ 67.50		$ 45.18
